user,visited_events,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
User 14,14,0/14 (0.0%),3/14 (21.4%),3/14 (21.4%),3/14 (21.4%),3/14 (21.4%),3/14 (21.4%),4/14 (28.6%),6/14 (42.9%),6/14 (42.9%),6/14 (42.9%)
User 15,15,0/15 (0.0%),6/15 (40.0%),6/15 (40.0%),6/15 (40.0%),6/15 (40.0%),6/15 (40.0%),6/15 (40.0%),6/15 (40.0%),6/15 (40.0%),6/15 (40.0%)
User 16,16,0/16 (0.0%),7/16 (43.8%),7/16 (43.8%),7/16 (43.8%),7/16 (43.8%),7/16 (43.8%),7/16 (43.8%),7/16 (43.8%),7/16 (43.8%),8/16 (50.0%)
User 17,17,4/17 (23.5%),4/17 (23.5%),4/17 (23.5%),4/17 (23.5%),4/17 (23.5%),4/17 (23.5%),4/17 (23.5%),4/17 (23.5%),4/17 (23.5%),6/17 (35.3%)
User 18,18,0/18 (0.0%),7/18 (38.9%),7/18 (38.9%),7/18 (38.9%),7/18 (38.9%),7/18 (38.9%),7/18 (38.9%),3/18 (16.7%),3/18 (16.7%),3/18 (16.7%)
User 19,19,6/19 (31.6%),12/19 (63.2%),12/19 (63.2%),12/19 (63.2%),10/19 (52.6%),10/19 (52.6%),6/19 (31.6%),6/19 (31.6%),6/19 (31.6%),2/19 (10.5%)
User 20,20,6/20 (30.0%),12/20 (60.0%),12/20 (60.0%),12/20 (60.0%),12/20 (60.0%),12/20 (60.0%),12/20 (60.0%),12/20 (60.0%),12/20 (60.0%),9/20 (45.0%)
User 21,21,8/21 (38.1%),16/21 (76.2%),16/21 (76.2%),16/21 (76.2%),16/21 (76.2%),16/21 (76.2%),16/21 (76.2%),16/21 (76.2%),16/21 (76.2%),8/21 (38.1%)
User 22,22,5/22 (22.7%),5/22 (22.7%),5/22 (22.7%),5/22 (22.7%),5/22 (22.7%),5/22 (22.7%),5/22 (22.7%),5/22 (22.7%),5/22 (22.7%),6/22 (27.3%)
User 23,23,0/23 (0.0%),7/23 (30.4%),7/23 (30.4%),7/23 (30.4%),7/23 (30.4%),7/23 (30.4%),12/23 (52.2%),12/23 (52.2%),12/23 (52.2%),8/23 (34.8%)
